iterations,interior_loss,interior_loss_validation,boundary_loss,boundary_loss_validation,interior_point_counts,boundary_point_counts,time_elapsed,L2_errpr,max_error
95,2.030252109854121,2.1124453951752495,5.091932604946233,1.240622253980431,16,2,5.993690013885498,0.03788638266208407,0.002096558149886551
96,2.0999228894132536,2.179616498131291,5.514412983823815,3.8364838956112486,16,2,6.010639429092407,0.03788638266208407,0.002096558149886551
97,2.0271095519792386,2.1598454100520676,4.969963820181132,1.487344878082486,16,2,6.0265953540802,0.03788638266208407,0.002096558149886551
98,2.004754234220925,2.1291201371144015,4.643910573514709,1.3615734724283444,16,2,6.042553424835205,0.03788638266208407,0.002096558149886551
99,1.691539609317052,1.7278417977688116,3.895338807217213,0.7042130285304442,16,2,6.058509111404419,0.03788638266208407,0.002096558149886551
100,1.8574257399553167,1.5110431263336128,3.957498248774767,0.6781946556201984,16,2,6.073469161987305,0.03788638266208407,0.002096558149886551
101,1.687582106237065,1.6461037036137802,3.8638433357911017,0.6032114802810327,16,2,6.089426517486572,0.03788638266208407,0.002096558149886551
102,1.6310035181175349,1.5532231289702572,3.9060499559159227,0.5804299424467632,16,2,6.104386568069458,0.03788638266208407,0.002096558149886551
103,1.6091816997545998,1.5300158019300993,3.915941883544456,0.6065619901069438,16,2,6.1203436851501465,0.03788638266208407,0.002096558149886551
104,1.5624534977803417,1.5042852828631985,3.89219769307055,0.6293158428034743,16,2,6.139293432235718,0.03788638266208407,0.002096558149886551
105,1.334910092676516,1.4790933305374339,3.7859184263768975,1.0537226088084457,16,2,6.155250787734985,0.03788638266208407,0.002096558149886551
106,1.3919040277162877,1.3820202440910203,3.416796813595815,0.5981305806771439,16,2,6.1722047328948975,0.03788638266208407,0.002096558149886551
107,1.381261446793052,1.29841743790963,3.14003727148182,0.44098846841698314,16,2,6.187165021896362,0.03788638266208407,0.002096558149886551
108,1.323683912719,1.3402682679761435,2.9597687843548206,0.370279458019937,16,2,6.2051169872283936,0.03788638266208407,0.002096558149886551
109,1.3491717554170661,1.2774972534754536,2.842128269692556,0.29704599023102596,16,2,6.22107458114624,0.03788638266208407,0.002096558149886551
110,1.4080049261389047,1.3244982904035814,2.7388045582381753,0.26772462481771425,16,2,6.239026308059692,0.03788638266208407,0.002096558149886551
111,1.3533146997878729,1.2751971831903781,2.603955966190985,0.26736463936146604,16,2,6.254983425140381,0.03788638266208407,0.002096558149886551
112,2.643762109624832,3.030588154658151,4.390086978046696,5.984164553851987,16,2,6.2699432373046875,0.03788638266208407,0.002096558149886551
113,1.2134010544701876,1.1669390469378271,2.234536817871842,0.3100424176301541,16,2,6.285900831222534,0.03788638266208407,0.002096558149886551
114,2.964754597296262,3.1353873290984167,51.61378585852808,104.02896923506975,16,2,6.301858425140381,0.03788638266208407,0.002096558149886551
115,1.154137052117127,1.117733647105421,2.0777221619445445,0.3476424915019636,16,2,6.319810152053833,0.03788638266208407,0.002096558149886551
116,0.9884552795552584,0.90030665655446,1.9933665497163293,0.6193206466952615,16,2,6.336764812469482,0.03788638266208407,0.002096558149886551
117,1.0833504388356678,1.0299568463282156,1.8573052447641913,0.5004647790411543,16,2,6.353719711303711,0.03788638266208407,0.002096558149886551
118,1.0717209395822591,1.0213836874389444,1.8354292482707772,0.5099139764165207,16,2,6.382643461227417,0.03788638266208407,0.002096558149886551
119,1.010989622959053,0.9256878250645209,1.7341472760558063,0.5093125434333736,16,2,6.405580997467041,0.03788638266208407,0.002096558149886551
120,1.0231487707453588,0.9286457788675379,1.6132283186347474,0.4472423164427269,16,2,6.424530506134033,0.03788638266208407,0.002096558149886551
121,1.1863465518211436,1.255849592395961,1.3559315211453236,0.41705700035878357,16,2,6.441489934921265,0.03788638266208407,0.002096558149886551
